#|16|Sources|Part 6 concluded. All URLs accessed 31 August 2026 unless otherwise stated.
###|Primary — PIMCO corporate and regulatory
SRC|**PIMCO at a Glance**, factsheet dated 30 June 2026. pimco.com/us/en/documents/ (document ID b816ff1b…) — total AUM, third-party AUM, headcount, portfolio manager and analyst counts, offices, trading desks, AUM by strategy, 3-year outperformance claim, CIO list, London legal entity details.
SRC|**PIMCO — Who We Are / About Us.** pimco.com/gbl/en/about-us — founding 1971, decade-by-decade AUM milestones, 24 offices, 3,255+ employees.
SRC|**PIMCO — Our Process.** pimco.com/gbl/en/about-us/our-process — Secular and Cyclical Forums, Investment Committee, five process drivers, Global Advisory Board chaired by Gordon Brown.
SRC|**PIMCO — Firm Leadership / Experts directory.** pimco.com/us/en/about-us/experts — Executive Committee names and titles; individual bios for Emmanuel Roman, Christian Stracke (London), Andrew Balls (London).
SRC|**PIMCO Form ADV Part 2A Brochure, 2026** (with Client Relationship Summary dated 31 March 2026). Retrieved via jpmorgan.com adviser-disclosure library; canonical copy at adviserinfo.sec.gov/firm/brochure/104559 — Item 5 Fees and Compensation, and Appendix B fee schedules. **Source for every institutional fee rate and performance-fee structure in Section 6.**
SRC|**PIMCO Income Fund factsheet**, dated 30 June 2026. pimco.com/us/en/documents/ (document ID d2f2cef3…) — $230,676.1m net assets, expense ratios, duration, calendar-year returns, portfolio managers.
SRC|**PIMCO — Alternative Investments.** pimco.com/us/en/investment-strategies/alternative-investments — $207bn alternatives AUM, $182bn alternative credit and private strategies, $25bn hedge fund and quant, as of 31 March 2026.
SRC|**PIMCO — Real Estate.** pimco.com/us/en/investment-strategies/real-estate — $169bn+ real estate AUM, 280+ professionals, 35 offices, $91.9bn PIMCO Prime Real Estate, $54bn+ public real estate, all as of 31 December 2025.
SRC|**PIMCO — Global Office Locations.** pimco.com/gb/en/about-us/offices — office addresses including London, and the legal-entity disclosure footer showing the 25 Baker Street discrepancy.
SRC|**PIMCO — Careers and Students pages.** pimco.com/us/en/about-us/careers and /students — EEO statements, programme overview, links to the Workday portal.
###|Primary — PIMCO careers (Workday requisition system)
SRC|**PIMCO Workday careers portal.** pimco.wd1.myworkdayjobs.com/pimco-careers — queried via its underlying data interface on 31 August 2026, returning 82 live requisitions of which 36 were internships. Source for all four London role descriptions, requisition IDs, posting dates, eligibility criteria, programme structure and the three-stage interview process.
SRC|R106780 — 2027 Summer Intern – Product Analyst, EMEA (London). Posted 31 Aug 2026.
SRC|R106783 — 2027 Summer Intern - Alternatives Business Management Analyst, EMEA (London). Posted 31 Aug 2026.
SRC|R106800 — 2027 Summer Intern - Technology Analyst, Software Engineering, EMEA (London). Posted 31 Aug 2026.
SRC|R106802 — 2027 Summer Intern - Account Analyst, London (Arabic, French or Italian Speaking). Posted 31 Aug 2026.
SRC|Cross-checked against the US and Dublin requisitions (R106763 Trading Analyst US; R106748 and R106747 Private Strategies US; R106796, R106798, R106799 Dublin EMEA roles) to establish that no London Trading or Private Strategies internship exists this cycle.
###|Primary — Allianz SE
SRC|**Allianz Results 2Q 2026**, media release 7 August 2026. allianz.com/en/mediacenter/news/media-releases/financials/260807-2q-2026-earnings-release.html — Asset Management operating revenues, operating profit €933m, CIR 60.2%, third-party AUM €2.161tn, net inflows €39bn (Q2) and €84bn (H1).
SRC|**Allianz Results 2025 & 4Q**, media release 26 February 2026. …/260226-4q-2025-earnings-release.html — FY2025 revenues €8.5bn, operating profit €3.3bn, CIR 60.7%, third-party AUM €1.990tn, net inflows €139bn, FX translation −€170bn.
SRC|**Allianz FY2024 earnings release**, 28 February 2025. …/250228-allianz-4q-fy2024-earnings-release.html — FY2024 revenues €8.3bn, CIR 61.1%, third-party AUM €1.920tn, net inflows €84.8bn "almost four times the prior year level".
SRC|**Allianz FY2023 earnings release**, 23 February 2024. …/240223-allianz-4q-fy2023-earnings-release.html
SRC|**Allianz FY2022 earnings release**, 17 February 2023. …/230217_Allianz-4Q-FY2022-earnings-release.html — FY2022 revenues €8.2bn, operating profit €3.2bn (2021: €3.5bn), CIR 61.2% (2021: 58.4%), third-party AUM €1.635tn, net outflows €81.4bn, Voya transaction impact.
SRC|**Allianz to terminate PIMCO M Unit Plan and purchase M Units**, media release 30 July 2026. …/260730-allianz-to-terminate-pimco-m-unit-plan-and-purchase-m-units.html — 9.4% employee ownership, 4.4% held by former employees, consideration of at least €1.4bn, awards made 2008–2020.
###|Primary — UK regulatory and corporate registry
SRC|**Companies House — PIMCO EUROPE LTD, company number 02604517.** find-and-update.company-information.service.gov.uk/company/02604517 — registered office 11 Baker Street W1U 3AH, incorporated 24 April 1991, SIC 66300, accounts to 31 December 2025, filing history.
###|Secondary — trade press, regulators and aggregators (lower confidence, flagged in text)
SRC|**SEC press release 2024-187**, "SEC Charges Ken Leech, Former Co-Chief Investment Officer of Western Asset Management Co., with Fraud". sec.gov/newsroom/press-releases/2024-187 — the cherry-picking allegations. *(Primary regulatory source; listed here for topic grouping.)*
SRC|Reporting on the Western Asset settlement ($100m civil penalty) and outflows (at least $120bn; ~$68bn in Q4 2024) — Yahoo Finance / InvestmentNews / Morningstar coverage, accessed 31 Aug 2026.
SRC|Reporting on Bill Gross's September 2014 departure, the $23.5bn monthly outflow, Total Return Fund AUM of ~$221.6bn, and Douglas Hodge's statement — CNBC, Reuters/Business Standard, Nasdaq/Zacks and Morningstar coverage from 2014 and later, accessed 31 Aug 2026.
SRC|PIMCO GIS Income Fund net assets ~$126.4bn as of 30 April 2026, and GIS retail share-class TER ~1.45% — Cbonds and Morningstar share-class data. **Aggregator sources; flagged as lower confidence in Section 7.2.**
SRC|PIMCO ETF count (25), total ETF AUM (~$58.5bn), average expense ratio (0.40%), and 18th-largest US ETF provider — stockanalysis.com. **Aggregator source; flagged in Section 7.3.**
