"company_name","tier","sub_sector","geography","town","postcode","employee_count_estimate","website","careers_portal","contact_name","contact_title","contact_email","email_confidence","source_url","personalisation_hook","excluded_reason","date_scoped","status"
"Rickard Luckin","A","Corporate finance / M&A advisory","South Essex (Southend core)","Leigh-on-Sea","SS9 2AD","","https://rickardluckin.co.uk","no","Mark Brooks","Corporate Finance Director","enquiries@rickardluckin.co.uk","generic","https://rickardluckin.co.uk/corporate-finance","A regional chartered accountancy firm whose dedicated corporate finance team advises on M&A, MBOs, valuations and fundraising, with a Leigh-on-Sea office opened in 2025.","","2026-07-22",""
"Strategic IFA Ltd","A","IFA / financial planning","South Essex (Southend core)","Southend-on-Sea","SS1 1EF","","https://www.strategicifa.co.uk","no","Oliver Moore","Managing Director","enquiries@strategicifa.co.uk","generic","https://www.strategicifa.co.uk/about","A fully independent, Chartered financial planning firm in Southend advising private clients on investments, pensions and retirement.","","2026-07-22",""
"Strategic IFA Ltd","A","IFA / financial planning","South Essex (Southend core)","Southend-on-Sea","SS1 1EF","","https://www.strategicifa.co.uk","no","Gary Walsh","Chartered Financial Adviser","enquiries@strategicifa.co.uk","generic","https://www.strategicifa.co.uk/about","A fully independent, Chartered financial planning firm in Southend advising private clients on investments, pensions and retirement.","","2026-07-22",""
"Cervello Financial Planning","A","Chartered financial planning","South Essex (Southend core)","Southend-on-Sea","SS2 6HZ","~9","https://www.cervellofp.co.uk","no","Chris Daems","Owner / Chartered Financial Planner","chrisdaems@cervellofp.co.uk","inferred","https://www.cervellofp.co.uk/who-we-are/","A directly FCA-authorised firm of independent Chartered Financial Planners in Southend, advising professionals and business owners across Thorpe Bay and Southend.","","2026-07-22",""
"Infinity Financial Planning","A","IFA / financial planning","South Essex (Southend core)","Leigh-on-Sea","SS9 5PR","","https://www.infinityfp.co.uk","no","Gary Brown","Chartered Financial Planner","info@infinityfp.co.uk","generic","https://www.infinityfp.co.uk/about/","An independent financial planning firm in Leigh-on-Sea advising private clients on investments, pensions and retirement.","","2026-07-22",""
"Essex Financial Planners UK Ltd","A","IFA / financial planning","South Essex (Southend core)","Westcliff-on-Sea","SS0 7LX","","https://www.essexfp.com","no","Raymond Waterman","Managing Director","enquiries@essexfp.com","generic","https://essexfp.com/contact-us/","A whole-of-market independent financial adviser in Westcliff-on-Sea, established 2001, covering investments, pensions and protection.","","2026-07-22",""
"Barbac Payne Wealth Management Ltd","A","Private wealth management (SJP)","South Essex (Southend core)","Westcliff-on-Sea","SS0 0BY","","https://partnership.sjp.co.uk/partner/barbacpaynewm","no","Barbac Payne","Principal","","","https://partnership.sjp.co.uk/partner/barbacpaynewm","A Westcliff wealth-management practice (St. James's Place) specialising in pensions and final-salary pension transfers.","","2026-07-22",""
"Erica Hay Wealth Management","A","Private wealth management (SJP)","South Essex (Southend core)","Leigh-on-Sea","","","https://partnership.sjp.co.uk/partner/ericahay","no","Erica Hay","Principal","","","https://partnership.sjp.co.uk/partner/ericahay","A Leigh-on-Sea wealth-management practice (St. James's Place) advising personal and business clients on financial planning.","","2026-07-22",""
"Rosewood Financial Planning Ltd","A","Financial planning","South Essex (Southend core)","Westcliff-on-Sea","SS0 9XU","","https://rosewoodfp.co.uk","no","Charlotte Snook","Director","","","https://find-and-update.company-information.service.gov.uk/company/12233220/officers","A fixed-fee financial planning practice in Westcliff focused on midlife women and couples.","","2026-07-22",""
"Jury Financial Solutions Ltd","A","Private wealth management (SJP)","South Essex (Southend core)","Southend-on-Sea","SS1 3PS","","https://partnership.sjp.co.uk/partner/stephenjury","no","Stephen Jury","Principal","","","https://partnership.sjp.co.uk/partner/stephenjury","A Thorpe Bay wealth-management practice (St. James's Place) providing investment and retirement planning.","","2026-07-22",""
